machine_id,machine_type,timestep,temperature,vibration,pressure,voltage,current,rpm,operating_hours,health_status
M-001,CNC Lathe,29,58.69,2.305,4.94,400.37,12.93,1457.9,1182.1,Healthy
M-001,CNC Lathe,30,59.31,2.302,5.32,403.89,13.08,1445.8,1190.6,Healthy
M-001,CNC Lathe,31,62.6,2.454,5.29,398.98,12.93,1464.2,1199.1,Healthy
M-001,CNC Lathe,32,59.7,2.541,5.36,399.29,13.23,1464.1,1207.6,Healthy
M-001,CNC Lathe,33,59.86,2.247,5.38,402.77,12.31,1459.0,1216.1,Healthy
M-001,CNC Lathe,34,60.26,2.497,5.22,402.66,13.68,1473.3,1224.6,Healthy
M-001,CNC Lathe,35,58.73,2.364,5.22,398.48,12.47,1447.9,1233.1,Healthy
M-001,CNC Lathe,36,58.49,2.603,5.15,399.92,13.25,1457.3,1241.6,Healthy
M-001,CNC Lathe,37,60.37,2.349,5.05,402.91,12.39,1456.8,1250.1,Healthy
M-001,CNC Lathe,38,58.99,2.459,5.18,401.72,12.39,1476.9,1258.6,Healthy
M-001,CNC Lathe,39,58.43,2.58,5.25,402.25,13.06,1445.9,1267.1,Healthy
M-001,CNC Lathe,40,61.03,2.375,5.35,401.67,12.81,1450.6,1275.6,Healthy
M-001,CNC Lathe,41,58.95,2.487,5.1,397.99,12.64,1467.6,1284.1,Healthy
M-001,CNC Lathe,42,62.01,2.355,5.08,401.29,13.0,1465.5,1292.6,Healthy
M-001,CNC Lathe,43,62.43,2.463,5.4,401.05,12.97,1456.2,1301.1,Healthy
M-001,CNC Lathe,44,59.05,2.404,5.2,400.77,12.74,1469.7,1309.6,Healthy
M-001,CNC Lathe,45,62.4,2.376,5.2,403.02,14.05,1461.6,1318.1,Healthy
M-001,CNC Lathe,46,61.04,2.621,5.27,403.83,13.15,1469.2,1326.6,Healthy
M-001,CNC Lathe,47,58.63,2.46,5.28,402.91,13.33,1464.5,1335.1,Healthy
M-001,CNC Lathe,48,58.5,2.507,5.14,400.57,12.79,1460.0,1343.6,Healthy
M-001,CNC Lathe,49,58.02,2.57,5.12,405.11,12.54,1471.2,1352.1,Healthy
M-001,CNC Lathe,50,59.83,2.23,5.13,404.63,13.09,1460.3,1360.6,Healthy
M-001,CNC Lathe,51,57.32,2.624,5.42,405.1,12.81,1462.4,1369.1,Healthy
M-001,CNC Lathe,52,60.73,2.306,5.25,403.51,13.43,1448.2,1377.6,Healthy
M-001,CNC Lathe,53,59.3,2.621,5.3,396.43,12.46,1453.9,1386.1,Healthy
M-001,CNC Lathe,54,59.84,2.531,5.19,402.44,13.53,1453.7,1394.6,Healthy
M-001,CNC Lathe,55,59.16,2.208,5.34,404.25,13.57,1450.4,1403.1,Healthy
M-001,CNC Lathe,56,61.4,2.859,5.32,400.42,13.91,1445.5,1411.6,Healthy
M-001,CNC Lathe,57,59.54,2.662,5.32,398.4,14.12,1432.1,1420.1,Healthy
M-001,CNC Lathe,58,62.07,2.584,5.26,397.91,13.71,1446.4,1428.6,Healthy
M-001,CNC Lathe,59,61.61,3.036,5.38,395.91,14.27,1424.6,1437.1,Healthy
M-001,CNC Lathe,60,60.19,2.817,5.38,393.21,15.09,1436.2,1445.6,Healthy
M-001,CNC Lathe,61,63.05,3.013,5.12,397.91,14.84,1406.3,1454.1,Healthy
M-001,CNC Lathe,62,62.75,2.882,5.37,395.14,15.3,1424.9,1462.6,Healthy
M-001,CNC Lathe,63,62.67,3.031,5.32,392.9,15.29,1409.8,1471.1,Healthy
M-001,CNC Lathe,64,65.03,3.021,5.22,393.13,15.7,1407.2,1479.6,Healthy
M-001,CNC Lathe,65,64.19,3.043,5.1,392.49,15.79,1398.0,1488.1,Healthy
M-001,CNC Lathe,66,63.57,3.032,5.4,389.89,16.12,1400.9,1496.6,Healthy
M-001,CNC Lathe,67,66.32,3.089,5.25,394.21,16.52,1390.1,1505.1,Healthy
M-001,CNC Lathe,68,64.51,3.547,5.17,394.25,17.0,1404.5,1513.6,Healthy
M-001,CNC Lathe,69,65.25,3.373,5.4,391.05,17.26,1396.3,1522.1,Healthy
M-001,CNC Lathe,70,66.45,3.597,5.1,388.54,17.26,1378.7,1530.6,Healthy
M-001,CNC Lathe,71,64.65,3.489,5.27,390.01,17.79,1376.6,1539.1,Healthy
M-001,CNC Lathe,72,67.59,3.629,5.33,387.08,18.24,1385.7,1547.6,Healthy
M-001,CNC Lathe,73,63.3,3.633,5.29,389.82,18.47,1370.2,1556.1,Healthy
M-001,CNC Lathe,74,68.73,3.937,5.15,386.8,18.84,1378.4,1564.6,Warning
M-001,CNC Lathe,75,68.22,3.845,5.25,381.96,19.37,1364.6,1573.1,Warning
M-001,CNC Lathe,76,69.02,3.914,5.24,383.92,18.94,1349.3,1581.6,Warning
M-001,CNC Lathe,77,65.77,4.117,5.01,388.08,19.05,1360.7,1590.1,Warning
M-001,CNC Lathe,78,67.25,4.15,5.16,386.5,20.01,1351.9,1598.6,Warning
M-001,CNC Lathe,79,68.83,4.202,5.29,381.21,19.88,1327.4,1607.1,Warning
M-001,CNC Lathe,80,69.2,4.179,5.02,382.41,20.23,1322.9,1615.6,Warning
M-001,CNC Lathe,81,69.49,4.208,5.24,384.43,20.86,1318.2,1624.1,Warning
M-001,CNC Lathe,82,70.16,4.302,5.23,380.21,21.32,1321.4,1632.6,Warning
M-001,CNC Lathe,83,70.59,4.667,5.21,378.92,21.98,1319.0,1641.1,Warning
M-001,CNC Lathe,84,70.34,4.664,5.14,377.29,21.75,1314.1,1649.6,Warning
M-001,CNC Lathe,85,72.62,4.664,5.24,375.06,22.12,1294.1,1658.1,Warning
M-001,CNC Lathe,86,69.0,4.673,5.2,380.22,23.27,1302.3,1666.6,Warning
M-001,CNC Lathe,87,74.54,4.969,5.03,377.06,23.33,1289.6,1675.1,Warning
M-001,CNC Lathe,88,70.77,4.957,5.02,373.93,23.22,1275.9,1683.6,Warning
M-001,CNC Lathe,89,74.33,4.965,5.25,374.83,23.79,1283.5,1692.1,Warning
M-001,CNC Lathe,90,74.32,5.123,5.26,375.61,24.59,1273.2,1700.6,Warning
M-001,CNC Lathe,91,72.68,5.217,5.25,374.49,24.87,1273.9,1709.1,Critical
M-001,CNC Lathe,92,74.23,5.121,5.21,371.04,24.29,1271.6,1717.6,Critical
M-001,CNC Lathe,93,77.14,5.079,5.09,369.55,25.06,1257.5,1726.1,Critical
M-001,CNC Lathe,94,75.03,5.277,5.36,369.03,25.44,1261.2,1734.6,Critical
M-001,CNC Lathe,95,74.95,5.339,5.25,367.8,26.2,1248.5,1743.1,Critical
M-001,CNC Lathe,96,76.64,5.633,5.17,364.72,26.66,1238.5,1751.6,Critical
M-001,CNC Lathe,97,77.46,5.461,5.18,368.88,26.97,1232.6,1760.1,Critical
M-001,CNC Lathe,98,77.79,6.02,5.43,360.88,26.74,1210.9,1768.6,Critical
M-001,CNC Lathe,99,76.51,5.852,5.26,359.95,26.89,1211.3,1777.1,Critical
M-001,CNC Lathe,100,78.97,6.067,5.4,361.91,28.23,1219.0,1785.6,Critical
M-002,Induction Motor,1,66.67,1.333,4.66,403.18,15.3,1510.6,1280.4,Healthy
M-002,Induction Motor,2,66.78,1.507,4.54,404.84,14.59,1498.7,1288.9,Healthy
M-002,Induction Motor,3,65.33,1.486,4.62,399.63,15.03,1524.0,1297.4,Healthy
M-002,Induction Motor,4,64.88,1.392,4.88,405.46,15.04,1506.4,1305.9,Healthy
M-002,Induction Motor,5,65.42,1.249,4.57,408.05,15.03,1503.6,1314.4,Healthy
M-002,Induction Motor,6,65.01,1.48,4.96,405.33,14.76,1501.8,1322.9,Healthy
M-002,Induction Motor,7,66.41,1.316,4.79,399.64,14.88,1507.8,1331.4,Healthy
M-002,Induction Motor,8,66.65,1.288,4.55,403.76,14.57,1501.6,1339.9,Healthy
M-002,Induction Motor,9,65.11,1.228,4.78,403.97,15.34,1488.1,1348.4,Healthy
M-002,Induction Motor,10,63.9,1.448,4.62,403.95,14.96,1504.1,1356.9,Healthy
M-002,Induction Motor,11,64.31,1.404,4.63,405.63,14.92,1504.1,1365.4,Healthy
M-002,Induction Motor,12,68.21,1.253,4.84,398.96,14.24,1492.9,1373.9,Healthy
M-002,Induction Motor,13,63.71,1.411,4.73,403.77,14.91,1507.0,1382.4,Healthy
M-002,Induction Motor,14,66.12,1.227,4.67,404.14,15.13,1496.6,1390.9,Healthy
M-002,Induction Motor,15,65.01,1.39,4.63,402.82,15.0,1501.8,1399.4,Healthy
M-002,Induction Motor,16,65.72,1.26,4.67,403.82,15.25,1495.3,1407.9,Healthy
M-002,Induction Motor,17,65.4,1.416,4.87,402.27,14.73,1495.3,1416.4,Healthy
M-002,Induction Motor,18,63.12,1.598,4.58,402.65,15.42,1488.8,1424.9,Healthy
M-002,Induction Motor,19,66.03,1.217,4.83,399.94,14.35,1498.5,1433.4,Healthy
M-002,Induction Motor,20,66.29,1.382,4.67,406.97,15.72,1508.2,1441.9,Healthy
M-002,Induction Motor,21,64.37,1.336,4.58,404.48,14.39,1507.2,1450.4,Healthy
M-002,Induction Motor,22,67.53,1.472,4.66,405.34,15.53,1515.4,1458.9,Healthy
M-002,Induction Motor,23,63.92,1.447,4.69,405.89,15.1,1483.9,1467.4,Healthy
M-002,Induction Motor,24,64.7,1.41,4.56,405.44,14.43,1496.4,1475.9,Healthy
M-002,Induction Motor,25,66.73,1.28,4.76,400.77,15.69,1500.4,1484.4,Healthy
M-002,Induction Motor,26,65.24,1.408,4.77,401.24,14.96,1497.6,1492.9,Healthy
M-002,Induction Motor,27,63.09,1.505,4.67,404.77,15.03,1500.1,1501.4,Healthy
M-002,Induction Motor,28,67.49,1.38,4.55,403.48,15.14,1507.1,1509.9,Healthy
M-002,Induction Motor,29,63.82,1.498,4.53,406.57,14.5,1501.0,1518.4,Healthy
M-002,Induction Motor,30,66.4,1.4,4.79,405.52,15.41,1511.3,1526.9,Healthy
M-002,Induction Motor,31,64.58,1.462,4.55,404.17,15.25,1503.9,1535.4,Healthy
M-002,Induction Motor,32,65.66,1.36,4.82,404.12,14.8,1509.9,1543.9,Healthy
M-002,Induction Motor,33,63.44,1.446,4.6,406.84,14.87,1503.9,1552.4,Healthy
M-002,Induction Motor,34,65.62,1.155,4.64,406.37,15.27,1505.1,1560.9,Healthy
M-002,Induction Motor,35,63.5,1.456,4.78,404.38,15.39,1497.4,1569.4,Healthy
M-002,Induction Motor,36,64.51,1.088,4.8,404.91,14.38,1488.8,1577.9,Healthy
M-002,Induction Motor,37,64.07,1.481,4.67,402.67,14.61,1494.4,1586.4,Healthy
M-002,Induction Motor,38,62.8,1.241,4.6,405.65,14.91,1496.2,1594.9,Healthy
M-002,Induction Motor,39,67.89,1.306,4.82,407.52,14.41,1503.4,1603.4,Healthy
M-002,Induction Motor,40,64.5,1.314,4.76,403.04,14.79,1501.5,1611.9,Healthy
M-002,Induction Motor,41,64.67,1.245,4.78,406.38,15.08,1499.8,1620.4,Healthy
M-002,Induction Motor,42,64.28,1.302,4.94,406.16,14.67,1504.1,1628.9,Healthy
M-002,Induction Motor,43,64.69,1.456,4.76,406.45,14.67,1503.7,1637.4,Healthy
M-002,Induction Motor,44,63.02,1.235,4.79,402.38,14.67,1502.8,1645.9,Healthy
M-002,Induction Motor,45,65.96,1.259,4.36,402.54,15.39,1505.6,1654.4,Healthy
M-002,Induction Motor,46,66.71,1.25,4.54,405.21,15.05,1505.3,1662.9,Healthy
M-002,Induction Motor,47,66.24,1.437,4.75,405.71,15.14,1509.7,1671.4,Healthy
M-002,Induction Motor,48,66.33,1.57,4.64,405.24,14.83,1496.2,1679.9,Healthy
M-002,Induction Motor,49,64.29,1.445,4.75,405.08,14.88,1502.9,1688.4,Healthy
M-002,Induction Motor,50,66.1,1.207,4.71,404.46,15.23,1492.0,1696.9,Healthy
M-002,Induction Motor,51,66.92,1.412,4.73,403.48,15.15,1503.2,1705.4,Healthy
M-002,Induction Motor,52,66.57,1.213,4.72,405.1,14.9,1499.6,1713.9,Healthy
M-002,Induction Motor,53,64.69,1.407,4.52,406.21,14.8,1503.8,1722.4,Healthy
M-002,Induction Motor,54,65.56,1.323,4.69,400.21,15.22,1511.5,1730.9,Healthy
M-002,Induction Motor,55,63.08,1.337,4.58,403.93,15.19,1510.7,1739.4,Healthy
M-002,Induction Motor,56,66.47,1.543,4.68,401.99,14.92,1507.9,1747.9,Healthy
M-002,Induction Motor,57,63.65,1.585,4.79,403.87,14.72,1497.5,1756.4,Healthy
M-002,Induction Motor,58,65.21,1.359,4.8,403.6,15.14,1502.6,1764.9,Healthy
M-002,Induction Motor,59,65.45,1.358,4.78,405.73,15.12,1507.7,1773.4,Healthy
M-002,Induction Motor,60,63.99,1.425,4.83,405.26,14.6,1502.4,1781.9,Healthy
M-002,Induction Motor,61,65.57,1.295,4.57,403.65,14.7,1502.7,1790.4,Healthy
M-002,Induction Motor,62,63.45,1.509,4.64,406.27,14.92,1501.6,1798.9,Healthy
M-002,Induction Motor,63,65.5,1.44,4.95,403.29,15.46,1491.6,1807.4,Healthy
M-002,Induction Motor,64,66.57,1.675,4.7,403.14,15.1,1495.3,1815.9,Healthy
M-002,Induction Motor,65,69.45,1.72,4.76,407.84,14.99,1496.9,1824.4,Healthy
M-002,Induction Motor,66,66.74,1.826,4.69,402.82,15.48,1486.0,1832.9,Healthy
M-002,Induction Motor,67,68.76,2.031,4.66,403.39,15.63,1485.9,1841.4,Healthy
M-002,Induction Motor,68,70.3,2.126,4.74,405.64,15.46,1498.7,1849.9,Healthy
M-002,Induction Motor,69,68.83,2.329,4.68,406.92,15.93,1505.0,1858.4,Healthy
M-002,Induction Motor,70,68.84,2.377,4.6,403.22,16.15,1494.0,1866.9,Healthy
M-002,Induction Motor,71,73.45,2.482,4.61,405.79,15.68,1486.9,1875.4,Healthy
M-002,Induction Motor,72,69.92,2.666,4.81,404.06,16.54,1486.7,1883.9,Healthy
M-002,Induction Motor,73,68.93,2.682,4.55,408.28,16.33,1491.1,1892.4,Healthy
M-002,Induction Motor,74,69.87,2.876,4.78,404.64,16.71,1464.0,1900.9,Healthy
M-002,Induction Motor,75,74.17,3.195,4.74,402.91,16.79,1468.8,1909.4,Healthy
M-002,Induction Motor,76,71.23,3.257,4.69,406.41,16.06,1470.1,1917.9,Healthy
M-002,Induction Motor,77,72.53,3.466,4.74,404.11,17.29,1455.2,1926.4,Healthy
M-002,Induction Motor,78,75.96,3.51,4.55,403.74,16.44,1464.1,1934.9,Healthy
M-002,Induction Motor,79,75.06,3.913,4.77,401.5,17.05,1463.1,1943.4,Warning
M-002,Induction Motor,80,77.13,4.085,4.83,404.1,17.64,1466.1,1951.9,Warning
M-002,Induction Motor,81,76.51,4.16,4.67,403.18,17.71,1447.0,1960.4,Warning
M-002,Induction Motor,82,77.49,4.169,4.69,405.18,17.66,1449.2,1968.9,Warning
M-002,Induction Motor,83,78.59,4.528,4.69,406.45,17.32,1469.3,1977.4,Warning
M-002,Induction Motor,84,78.17,4.706,4.61,405.57,18.33,1437.2,1985.9,Warning
M-002,Induction Motor,85,81.3,4.824,4.76,402.45,18.41,1455.0,1994.4,Warning
M-002,Induction Motor,86,81.98,5.069,4.66,404.42,18.68,1439.1,2002.9,Warning
M-002,Induction Motor,87,80.36,5.303,4.6,407.54,18.53,1434.4,2011.4,Warning
M-002,Induction Motor,88,83.69,5.386,4.74,407.15,19.19,1431.3,2019.9,Warning
M-002,Induction Motor,89,81.3,5.499,4.81,405.42,19.44,1429.9,2028.4,Warning
M-002,Induction Motor,90,85.72,5.777,4.72,402.22,18.94,1408.0,2036.9,Critical
M-002,Induction Motor,91,83.97,6.194,4.55,403.67,19.13,1412.7,2045.4,Critical
M-002,Induction Motor,92,86.1,6.125,4.81,407.35,19.0,1408.3,2053.9,Critical
M-002,Induction Motor,93,86.84,6.547,4.66,404.24,19.59,1397.8,2062.4,Critical
M-002,Induction Motor,94,89.39,6.398,4.94,405.73,20.43,1410.9,2070.9,Critical
M-002,Induction Motor,95,88.24,6.871,4.69,405.39,20.39,1394.8,2079.4,Critical
M-002,Induction Motor,96,88.4,6.915,4.8,403.05,19.94,1401.7,2087.9,Critical
M-002,Induction Motor,97,92.17,7.336,4.64,401.11,20.77,1393.4,2096.4,Critical
M-002,Induction Motor,98,90.11,7.522,4.89,404.73,21.09,1383.3,2104.9,Critical
M-002,Induction Motor,99,93.87,7.661,4.65,404.41,21.41,1387.9,2113.4,Critical
M-002,Induction Motor,100,94.57,7.932,4.68,405.08,21.64,1372.5,2121.9,Critical
M-003,Hydraulic Pump,1,59.54,2.325,5.32,401.36,13.01,1507.1,2569.5,Healthy
M-003,Hydraulic Pump,2,61.1,2.341,5.38,396.81,13.44,1503.5,2578.0,Healthy
M-003,Hydraulic Pump,3,61.5,2.557,5.34,394.33,13.39,1525.3,2586.5,Healthy
M-003,Hydraulic Pump,4,59.38,2.489,5.57,395.96,13.62,1517.7,2595.0,Healthy
M-003,Hydraulic Pump,5,59.89,2.267,5.34,395.04,13.19,1494.8,2603.5,Healthy
M-003,Hydraulic Pump,6,60.38,2.199,5.42,393.96,13.54,1511.3,2612.0,Healthy
M-003,Hydraulic Pump,7,57.95,2.337,5.52,394.65,14.01,1508.0,2620.5,Healthy
M-003,Hydraulic Pump,8,59.5,2.285,5.46,397.22,13.61,1497.3,2629.0,Healthy
M-003,Hydraulic Pump,9,60.55,2.122,5.39,395.26,13.16,1514.5,2637.5,Healthy
M-003,Hydraulic Pump,10,61.65,2.365,5.29,396.44,13.85,1505.8,2646.0,Healthy
M-003,Hydraulic Pump,11,63.13,2.339,5.42,396.45,13.47,1503.4,2654.5,Healthy
M-003,Hydraulic Pump,12,61.19,2.407,5.32,394.41,12.78,1508.7,2663.0,Healthy
M-003,Hydraulic Pump,13,59.02,2.033,5.44,402.05,13.42,1511.3,2671.5,Healthy
M-003,Hydraulic Pump,14,60.44,2.28,5.49,396.49,13.51,1507.2,2680.0,Healthy
M-003,Hydraulic Pump,15,59.54,2.411,5.38,395.56,13.61,1497.4,2688.5,Healthy
M-003,Hydraulic Pump,16,60.38,2.291,5.51,398.02,13.41,1511.2,2697.0,Healthy
M-003,Hydraulic Pump,17,62.01,2.359,5.4,394.44,13.05,1502.2,2705.5,Healthy
M-003,Hydraulic Pump,18,59.61,2.269,5.41,398.13,13.4,1508.5,2714.0,Healthy
M-003,Hydraulic Pump,19,60.42,2.055,5.31,396.78,13.0,1509.4,2722.5,Healthy
M-003,Hydraulic Pump,20,62.18,2.438,5.38,400.05,13.47,1501.9,2731.0,Healthy
M-003,Hydraulic Pump,21,59.61,2.256,5.36,397.41,13.48,1504.7,2739.5,Healthy
M-003,Hydraulic Pump,22,60.87,2.435,5.49,394.1,12.53,1512.1,2748.0,Healthy
M-003,Hydraulic Pump,23,58.7,2.265,5.28,393.46,13.61,1510.7,2756.5,Healthy
M-003,Hydraulic Pump,24,59.65,1.981,5.35,397.85,12.9,1506.1,2765.0,Healthy
M-003,Hydraulic Pump,25,60.32,2.361,5.41,395.12,13.84,1503.4,2773.5,Healthy
M-003,Hydraulic Pump,26,60.31,2.18,5.36,395.3,13.36,1518.3,2782.0,Healthy
M-003,Hydraulic Pump,27,58.7,2.098,5.55,396.65,13.19,1513.0,2790.5,Healthy
M-003,Hydraulic Pump,28,59.62,2.511,5.47,396.09,14.18,1499.8,2799.0,Healthy
M-003,Hydraulic Pump,29,61.23,2.328,5.53,400.19,13.43,1498.6,2807.5,Healthy
M-003,Hydraulic Pump,30,60.9,2.21,5.6,397.34,13.29,1506.1,2816.0,Healthy
M-003,Hydraulic Pump,31,58.73,2.175,5.52,395.75,13.05,1508.9,2824.5,Healthy
M-003,Hydraulic Pump,32,61.77,2.378,5.5,395.55,12.92,1516.6,2833.0,Healthy
M-003,Hydraulic Pump,33,59.96,2.262,5.53,398.18,13.58,1522.0,2841.5,Healthy
M-003,Hydraulic Pump,34,59.57,2.403,5.41,397.61,13.96,1508.7,2850.0,Healthy
M-003,Hydraulic Pump,35,60.99,2.421,5.36,395.39,13.06,1488.9,2858.5,Healthy
M-003,Hydraulic Pump,36,62.81,2.159,5.38,396.51,13.53,1511.2,2867.0,Healthy
M-003,Hydraulic Pump,37,61.38,2.222,5.38,397.63,13.33,1517.5,2875.5,Healthy
M-003,Hydraulic Pump,38,60.93,2.38,5.47,399.42,13.48,1494.3,2884.0,Healthy
M-003,Hydraulic Pump,39,60.82,2.214,5.35,398.24,13.85,1504.8,2892.5,Healthy
M-003,Hydraulic Pump,40,60.71,2.496,5.42,402.27,13.62,1490.6,2901.0,Healthy
M-003,Hydraulic Pump,41,61.25,2.338,5.53,398.41,13.37,1494.8,2909.5,Healthy
M-003,Hydraulic Pump,42,60.09,2.19,5.34,398.25,14.01,1507.8,2918.0,Healthy
M-003,Hydraulic Pump,43,58.91,2.345,5.52,395.85,13.37,1504.8,2926.5,Healthy
M-003,Hydraulic Pump,44,59.4,2.37,5.39,397.91,13.11,1501.1,2935.0,Healthy
M-003,Hydraulic Pump,45,61.21,2.247,5.57,396.27,13.5,1512.1,2943.5,Healthy
M-003,Hydraulic Pump,46,58.64,2.081,5.25,399.59,13.23,1525.1,2952.0,Healthy
M-003,Hydraulic Pump,47,59.67,2.314,5.55,401.08,14.14,1514.3,2960.5,Healthy
M-003,Hydraulic Pump,48,61.57,2.363,5.48,395.97,13.13,1504.6,2969.0,Healthy
M-003,Hydraulic Pump,49,60.14,2.237,5.47,398.98,13.45,1516.5,2977.5,Healthy
M-003,Hydraulic Pump,50,58.97,2.269,5.33,393.34,13.39,1503.7,2986.0,Healthy
M-003,Hydraulic Pump,51,62.16,2.368,5.3,400.78,13.85,1509.3,2994.5,Healthy
M-003,Hydraulic Pump,52,60.07,2.177,5.36,399.25,14.08,1517.0,3003.0,Healthy
M-003,Hydraulic Pump,53,59.76,2.157,5.41,393.53,13.53,1503.5,3011.5,Healthy
M-003,Hydraulic Pump,54,59.9,2.124,5.45,395.73,13.11,1480.0,3020.0,Healthy
M-003,Hydraulic Pump,55,60.61,2.562,5.57,395.49,13.46,1504.3,3028.5,Healthy
M-003,Hydraulic Pump,56,59.65,2.426,5.48,398.4,13.81,1496.0,3037.0,Healthy
M-003,Hydraulic Pump,57,60.02,2.335,5.38,396.18,14.35,1488.1,3045.5,Healthy
M-003,Hydraulic Pump,58,63.11,2.449,5.4,393.4,13.39,1498.1,3054.0,Healthy
M-003,Hydraulic Pump,59,62.47,2.499,5.41,395.35,13.91,1483.2,3062.5,Healthy
M-003,Hydraulic Pump,60,62.81,2.436,5.43,390.99,14.85,1483.3,3071.0,Healthy
M-003,Hydraulic Pump,61,60.21,2.782,5.33,391.45,14.99,1488.8,3079.5,Healthy
M-003,Hydraulic Pump,62,61.22,2.707,5.44,393.79,15.23,1472.5,3088.0,Healthy
M-003,Hydraulic Pump,63,61.76,2.77,5.29,385.88,15.58,1478.4,3096.5,Healthy
M-003,Hydraulic Pump,64,60.23,2.7,5.46,395.13,15.7,1461.0,3105.0,Healthy
M-003,Hydraulic Pump,65,63.18,3.05,5.34,388.69,15.79,1454.6,3113.5,Healthy
M-003,Hydraulic Pump,66,63.88,3.145,5.43,389.04,16.14,1445.1,3122.0,Healthy
M-003,Hydraulic Pump,67,65.13,3.007,5.38,395.17,16.63,1446.8,3130.5,Healthy
M-003,Hydraulic Pump,68,63.91,3.223,5.41,385.13,17.14,1442.7,3139.0,Healthy
M-003,Hydraulic Pump,69,67.03,3.284,5.36,389.77,17.14,1449.9,3147.5,Healthy
M-003,Hydraulic Pump,70,65.72,3.123,5.34,388.46,17.3,1434.8,3156.0,Healthy
M-003,Hydraulic Pump,71,64.37,3.348,5.61,383.45,17.74,1444.1,3164.5,Healthy
M-003,Hydraulic Pump,72,65.79,3.424,5.29,385.6,17.98,1435.5,3173.0,Healthy
M-003,Hydraulic Pump,73,67.7,3.755,5.46,384.55,18.43,1419.5,3181.5,Healthy
M-003,Hydraulic Pump,74,67.07,3.484,5.42,385.67,18.33,1426.0,3190.0,Healthy
M-003,Hydraulic Pump,75,68.63,3.582,5.19,380.94,19.47,1411.3,3198.5,Healthy
M-003,Hydraulic Pump,76,66.25,3.613,5.48,382.36,19.26,1403.0,3207.0,Healthy
M-003,Hydraulic Pump,77,67.39,3.642,5.56,379.73,20.11,1412.5,3215.5,Warning
M-003,Hydraulic Pump,78,69.46,3.781,5.44,379.41,19.71,1397.2,3224.0,Warning
M-003,Hydraulic Pump,79,67.27,4.055,5.35,378.94,20.47,1386.8,3232.5,Warning
M-003,Hydraulic Pump,80,69.8,3.937,5.49,374.92,20.76,1398.5,3241.0,Warning
M-003,Hydraulic Pump,81,68.32,3.996,5.45,377.03,21.19,1381.0,3249.5,Warning
M-003,Hydraulic Pump,82,70.71,4.293,5.44,375.23,21.66,1386.4,3258.0,Warning
M-003,Hydraulic Pump,83,70.23,4.127,5.51,374.51,21.03,1371.9,3266.5,Warning
